2023-12-04 08:22:12,266 INFO    StreamThr :88943 [internal.py:wandb_internal():86] W&B internal server running at pid: 88943, started at: 2023-12-04 08:22:12.266238
2023-12-04 08:22:12,268 DEBUG   HandlerThread:88943 [handler.py:handle_request():146] handle_request: status
2023-12-04 08:22:12,269 INFO    WriterThread:88943 [datastore.py:open_for_write():85] open: /data_2/teddy/code/speech_emotion_recognition/wandb/run-20231204_082212-anzhmtru/run-anzhmtru.wandb
2023-12-04 08:22:12,270 DEBUG   SenderThread:88943 [sender.py:send():380] send: header
2023-12-04 08:22:12,272 DEBUG   SenderThread:88943 [sender.py:send():380] send: run
2023-12-04 08:22:12,506 INFO    SenderThread:88943 [dir_watcher.py:__init__():211] watching files in: /data_2/teddy/code/speech_emotion_recognition/wandb/run-20231204_082212-anzhmtru/files
2023-12-04 08:22:12,506 INFO    SenderThread:88943 [sender.py:_start_run_threads():1124] run started: anzhmtru with start time 1701678132.265992
2023-12-04 08:22:12,512 DEBUG   HandlerThread:88943 [handler.py:handle_request():146] handle_request: check_version
2023-12-04 08:22:12,512 DEBUG   SenderThread:88943 [sender.py:send_request():407] send_request: check_version
2023-12-04 08:22:12,569 DEBUG   HandlerThread:88943 [handler.py:handle_request():146] handle_request: run_start
2023-12-04 08:22:12,580 DEBUG   HandlerThread:88943 [system_info.py:__init__():32] System info init
2023-12-04 08:22:12,580 DEBUG   HandlerThread:88943 [system_info.py:__init__():47] System info init done
2023-12-04 08:22:12,580 INFO    HandlerThread:88943 [system_monitor.py:start():194] Starting system monitor
2023-12-04 08:22:12,580 INFO    SystemMonitor:88943 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-04 08:22:12,580 INFO    HandlerThread:88943 [system_monitor.py:probe():214] Collecting system info
2023-12-04 08:22:12,581 INFO    SystemMonitor:88943 [interfaces.py:start():190] Started cpu monitoring
2023-12-04 08:22:12,582 INFO    SystemMonitor:88943 [interfaces.py:start():190] Started disk monitoring
2023-12-04 08:22:12,582 INFO    SystemMonitor:88943 [interfaces.py:start():190] Started gpu monitoring
2023-12-04 08:22:12,582 INFO    SystemMonitor:88943 [interfaces.py:start():190] Started memory monitoring
2023-12-04 08:22:12,583 INFO    SystemMonitor:88943 [interfaces.py:start():190] Started network monitoring
2023-12-04 08:22:12,678 DEBUG   HandlerThread:88943 [system_info.py:probe():196] Probing system
